ID,Task,Type,Interface,Start time,End time,Time diff,Correctness,Type of answer
1,1,A1,Hansel,18:43:55,18:47:20,0:03:25,correct,same
1,2,C1,Baseline,18:48:11,18:50:38,0:02:27,correct,diff
1,3,D1,Hansel,18:51:56,18:54:30,0:02:34,correct,diff
1,4,A2,Baseline,18:55:33,18:58:40,0:03:07,correct,same
1,5,B1,Hansel,18:59:15,19:02:06,0:02:51,correct,same
1,6,D2,Baseline,19:02:30,19:05:10,0:02:40,incorrect,diff
1,7,C2,Hansel,19:06:14,19:08:20,0:02:06,correct,diff
1,8,B2,Baseline,19:09:20,19:13:07,0:03:47,correct,same
2,1,A1,Baseline,10:13:12,10:16:40,0:03:28,correct,same
2,2,C1,Hansel,10:17:30,10:19:56,0:02:26,correct,diff
2,3,D1,Baseline,10:21:08,10:23:19,0:02:11,incorrect,diff
2,4,A2,Hansel,10:23:59,10:25:38,0:01:39,correct,same
2,5,B1,Baseline,10:26:15,10:28:13,0:01:58,correct,same
2,6,D2,Hansel,10:29:02,10:31:05,0:02:03,correct,diff
2,7,C2,Baseline,10:32:59,10:35:44,0:02:45,correct,diff
2,8,B2,Hansel,10:36:20,10:39:00,0:02:40,correct,same
3,1,A1,Hansel,10:34:53,10:36:10,0:01:17,correct,same
3,2,C1,Baseline,10:36:25,10:38:21,0:01:56,incorrect,same
3,3,D1,Hansel,10:39:03,10:40:17,0:01:14,incorrect,same
3,4,A2,Baseline,10:40:58,10:42:10,0:01:12,correct,same
3,5,B1,Hansel,10:42:47,10:43:47,0:01:00,correct,same
3,6,D2,Baseline,10:44:41,10:45:35,0:00:54,incorrect,same
3,7,C2,Hansel,10:46:10,10:47:12,0:01:02,incorrect,same
3,8,B2,Baseline,10:47:37,10:48:20,0:00:43,correct,same
4,1,A1,Baseline,1:13:15,1:14:33,0:01:18,correct,same
4,2,C1,Hansel,1:15:20,1:17:48,0:02:28,correct,diff
4,3,D1,Baseline,1:18:10,1:19:55,0:01:45,correct,diff
4,4,A2,Hansel,1:21:07,1:24:50,0:03:43,incorrect,diff
4,5,B1,Baseline,1:25:35,1:30:32,0:04:57,incorrect,diff
4,6,D2,Hansel,1:31:30,1:33:38,0:02:08,incorrect,same
4,7,C2,Baseline,1:34:28,1:36:35,0:02:07,correct,diff
4,8,B2,Hansel,1:37:03,1:38:20,0:01:17,correct,same
5,1,A1,Hansel,2:50:30,2:53:11,0:02:41,correct,same
5,2,C1,Baseline,2:54:00,2:56:51,0:02:51,incorrect,same
5,3,D1,Hansel,2:58:10,2:59:56,0:01:46,correct,diff
5,4,A2,Baseline,3:02:39,3:05:56,0:03:17,correct,same
5,5,B1,Hansel,3:06:28,3:10:10,0:03:42,correct,same
5,6,D2,Baseline,3:11:06,3:14:29,0:03:23,incorrect,diff
5,7,C2,Hansel,3:15:27,3:17:46,0:02:19,correct,diff
5,8,B2,Baseline,3:18:06,3:21:23,0:03:17,correct,same
6,1,A1,Baseline,4:11:58,4:15:28,0:03:30,correct,same
6,2,C1,Hansel,4:15:53,4:18:26,0:02:33,correct,diff
6,3,D1,Baseline,4:19:38,4:21:45,0:02:07,correct,diff
6,4,A2,Hansel,4:22:10,4:24:40,0:02:30,correct,same
6,5,B1,Baseline,4:25:10,4:27:53,0:02:43,correct,same
6,6,D2,Hansel,4:28:10,4:31:44,0:03:34,correct,diff
6,7,C2,Baseline,4:32:09,4:34:09,0:02:00,correct,diff
6,8,B2,Hansel,4:34:32,4:35:25,0:00:53,correct,same
7,1,A1,Hansel,18:36:52,18:39:12,0:02:20,correct,same
7,2,C1,Baseline,18:40:06,18:42:29,0:02:23,correct,diff
7,3,D1,Hansel,18:43:26,18:45:00,0:01:34,correct,diff
7,4,A2,Baseline,18:46:34,18:51:23,0:04:49,correct,same
7,5,B1,Hansel,18:52:10,18:55:37,0:03:27,correct,same
7,6,D2,Baseline,18:56:10,19:00:55,0:04:45,incorrect,same
7,7,C2,Hansel,19:02:00,19:04:01,0:02:01,correct,diff
7,8,B2,Baseline,19:05:44,19:08:15,0:02:31,correct,same
8,1,A1,Hansel,8:40:30,8:41:33,0:01:03,correct,same
8,2,C1,Baseline,8:42:59,8:46:50,0:03:51,correct,diff
8,3,D1,Hansel,8:48:00,8:48:46,0:00:46,correct,diff
8,4,A2,Baseline,8:50:25,8:52:50,0:02:25,correct,same
8,5,B1,Hansel,8:53:14,8:54:51,0:01:37,correct,same
8,6,D2,Baseline,8:55:20,8:59:25,0:04:05,incorrect,diff
8,7,C2,Hansel,9:00:20,9:02:10,0:01:50,correct,diff
8,8,B2,Baseline,9:03:32,9:05:30,0:01:58,correct,same
9,1,A1,Hansel,10:24:25,10:27:09,0:02:44,correct,same
9,2,C1,Baseline,10:27:40,10:31:10,0:03:30,correct,diff
9,3,D1,Hansel,10:31:30,10:32:30,0:01:00,correct,diff
9,4,A2,Baseline,10:33:40,10:38:09,0:04:29,correct,same
9,5,B1,Hansel,10:38:30,10:42:37,0:04:07,correct,same
9,6,D2,Baseline,10:42:45,10:44:43,0:01:58,incorrect,diff
9,7,C2,Hansel,10:45:16,10:46:16,0:01:00,correct,diff
9,8,B2,Baseline,10:46:47,10:49:44,0:02:57,correct,same
10,1,A1,Hansel,11:42:50,11:44:29,0:01:39,correct,same
10,2,C1,Baseline,11:44:40,11:48:58,0:04:18,correct,diff
10,3,D1,Hansel,11:50:00,11:51:58,0:01:58,correct,diff
10,4,A2,Baseline,11:52:25,11:54:40,0:02:15,correct,same
10,5,B1,Hansel,11:55:20,11:57:26,0:02:06,correct,same
10,6,D2,Baseline,11:57:54,12:02:10,0:04:16,incorrect,diff
10,7,C2,Hansel,12:02:57,12:04:18,0:01:21,incorrect,same
10,8,B2,Baseline,12:04:46,12:07:00,0:02:14,correct,same
11,1,A1,Baseline,2:26:55,2:31:19,0:04:24,correct,same
11,2,C1,Hansel,2:31:55,2:32:40,0:00:45,incorrect,same
11,3,D1,Baseline,2:33:40,2:36:30,0:02:50,correct,diff
11,4,A2,Hansel,2:36:47,2:39:22,0:02:35,correct,same
11,5,B1,Baseline,2:40:55,2:44:20,0:03:25,correct,same
11,6,D2,Hansel,2:44:34,2:45:29,0:00:55,incorrect,same
11,7,C2,Baseline,2:45:45,2:47:07,0:01:22,correct,diff
11,8,B2,Hansel,2:47:41,2:49:15,0:01:34,correct,same
12,1,A1,Baseline,3:37:18,3:40:55,0:03:37,incorrect,diff
12,2,C1,Hansel,3:41:35,3:43:10,0:01:35,incorrect,same
12,3,D1,Baseline,3:43:47,3:46:53,0:03:06,incorrect,diff
12,4,A2,Hansel,3:47:28,3:49:39,0:02:11,correct,same
12,5,B1,Baseline,3:50:00,3:53:02,0:03:02,incorrect,diff
12,6,D2,Hansel,3:53:40,3:55:41,0:02:01,incorrect,diff
12,7,C2,Baseline,3:56:28,3:57:58,0:01:30,correct,diff
12,8,B2,Hansel,3:58:14,4:00:01,0:01:47,correct,same
13,1,A1,Baseline,4:59:20,5:02:54,0:03:34,correct,same
13,2,C1,Hansel,5:03:10,5:07:30,0:04:20,correct,diff
13,3,D1,Baseline,5:07:45,5:10:05,0:02:20,correct,diff
13,4,A2,Hansel,5:10:56,5:14:00,0:03:04,correct,same
13,5,B1,Baseline,5:14:20,5:19:20,0:05:00,correct,same
13,6,D2,Hansel,5:19:38,5:24:15,0:04:37,incorrect,same
13,7,C2,Baseline,5:24:24,5:25:59,0:01:35,correct,diff
13,8,B2,Hansel,5:26:29,5:27:23,0:00:54,correct,same
14,1,A1,Baseline,8:08:09,8:11:39,0:03:30,correct,same
14,2,C1,Hansel,8:12:24,8:13:58,0:01:34,correct,diff
14,3,D1,Baseline,8:14:32,8:17:00,0:02:28,correct,diff
14,4,A2,Hansel,8:17:54,8:21:06,0:03:12,correct,same
14,5,B1,Baseline,8:21:22,8:24:45,0:03:23,correct,same
14,6,D2,Hansel,8:25:24,8:27:56,0:02:32,correct,diff
14,7,C2,Baseline,8:28:09,8:31:00,0:02:51,correct,diff
14,8,B2,Hansel,8:31:40,8:32:59,0:01:19,correct,same